started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-07-01 08:48:31.496000+00:00,2021-07-01 09:05:05.065000+00:00,993,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459,1731,Pleasance Courtyard,"Edinburgh University, The Pleasance",55.947490592969416,-3.181112126101965
2021-07-01 08:55:30.821000+00:00,2021-07-01 09:05:36.232000+00:00,605,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956,1039,Lothian Road,Outside the Usher Hall,55.947409199207115,-3.2057654971365537
2021-07-01 08:56:25.339000+00:00,2021-07-01 10:26:57.355000+00:00,5432,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,1729,McDonald Road,Next to Fire Station,55.9640310527501,-3.1851753729504253
2021-07-01 09:07:30.028000+00:00,2021-07-01 09:15:28.832000+00:00,478,1730,East London Street,Outside St Mary's Primary School,55.95995414501485,-3.1871977585476543,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277433
2021-07-01 09:16:35.991000+00:00,2021-07-01 09:28:32.045000+00:00,716,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,254,Kings Building 3,Kings Building House,55.923478807846635,-3.1753845849070785
2021-07-01 09:16:44.689000+00:00,2021-07-01 09:30:38.725000+00:00,834,1729,McDonald Road,Next to Fire Station,55.9640310527501,-3.1851753729504253,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289
2021-07-01 09:18:38.958000+00:00,2021-07-01 09:30:11.785000+00:00,692,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.1918903325579038,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459
2021-07-01 09:21:38.495000+00:00,2021-07-01 09:33:24.949000+00:00,706,1731,Pleasance Courtyard,"Edinburgh University, The Pleasance",55.947490592969416,-3.181112126101965,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864
2021-07-01 09:28:32.680000+00:00,2021-07-01 09:53:44.708000+00:00,1512,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.21818468327956,1737,Inverleith Row,Corner with Inverleith Terrace,55.964117879889585,-3.2020947474163677
2021-07-01 09:30:00.782000+00:00,2021-07-01 09:52:37.716000+00:00,1356,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.21818468327956,1737,Inverleith Row,Corner with Inverleith Terrace,55.964117879889585,-3.2020947474163677
2021-07-01 09:32:40.064000+00:00,2021-07-01 10:17:35.438000+00:00,2695,250,Victoria Quay,Entrance to Scottish Government Office,55.977617152546344,-3.1741263194576277,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
2021-07-01 09:34:20.146000+00:00,2021-07-01 09:46:34.633000+00:00,734,1821,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.2123542850940225,1730,East London Street,Outside St Mary's Primary School,55.95995414501485,-3.1871977585476543
2021-07-01 09:39:22.499000+00:00,2021-07-01 10:02:11.221000+00:00,1368,1738,Wester Coates Terrace,Junction with Roseburn Terrace,55.94564841884953,-3.2318471509140636,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289
2021-07-01 09:39:39.403000+00:00,2021-07-01 10:26:38.076000+00:00,2818,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.957915406923476,-3.1183320420902874
2021-07-01 09:46:42.896000+00:00,2021-07-01 10:17:56.246000+00:00,1873,1024,Meadow Place,End of Meadow Place,55.940237631689435,-3.194640214184801,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.957915406923476,-3.1183320420902874
2021-07-01 09:48:54.455000+00:00,2021-07-01 09:58:07.355000+00:00,552,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96517649040763,-3.1761801702076298,250,Victoria Quay,Entrance to Scottish Government Office,55.977617152546344,-3.1741263194576277
2021-07-01 09:49:58.331000+00:00,2021-07-01 10:32:24.831000+00:00,2546,1038,South Trinity Road,Corner of South Trinity Road and Ferry Road,55.97132539148155,-3.207963567424258,1038,South Trinity Road,Corner of South Trinity Road and Ferry Road,55.97132539148155,-3.207963567424258
2021-07-01 10:08:11.335000+00:00,2021-07-01 11:22:20.035000+00:00,4448,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1096,West Crosscauseway,On island next to Buccleuch Street,55.9438359841253,-3.1849514084976818
